"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 01일","278.43","276.17","278.55","275.59","56.88K","0.95%"
"2019년 10월 31일","275.82","276.84","279.04","275.82","77.18K","0.11%"
"2019년 10월 30일","275.51","277.49","277.49","274.97","71.87K","-0.73%"
"2019년 10월 29일","277.55","279.25","279.49","276.84","55.68K","-0.08%"
"2019년 10월 28일","277.78","278.16","279.39","277.29","58.10K","0.26%"
"2019년 10월 25일","277.07","277.60","277.67","275.70","58.28M","0.13%"
"2019년 10월 24일","276.70","277.70","277.84","274.31","73.68M","0.17%"
"2019년 10월 23일","276.23","276.83","277.29","275.34","65.29M","-0.43%"
"2019년 10월 22일","277.41","275.40","278.19","274.93","63.88M","1.32%"
"2019년 10월 21일","273.79","273.87","274.10","272.67","45.39M","0.36%"
"2019년 10월 18일","272.81","275.99","277.06","272.28","71.47M","-1.00%"
"2019년 10월 17일","275.57","275.92","276.68","274.62","53.87M","-0.27%"
"2019년 10월 16일","276.32","276.26","277.59","275.24","65.38M","0.72%"
"2019년 10월 15일","274.34","273.85","275.09","273.83","53.05M","0.04%"
"2019년 10월 14일","274.23","274.71","275.75","273.97","71.05M","1.08%"
"2019년 10월 11일","271.30","271.68","272.68","270.58","59.64M","0.93%"
"2019년 10월 10일","268.80","268.79","270.78","266.23","98.18M","-0.94%"
"2019년 10월 08일","271.36","268.90","271.51","267.97","75.08M","1.38%"
"2019년 10월 07일","267.67","269.12","269.75","266.83","53.57M","0.10%"
"2019년 10월 04일","267.39","268.14","270.16","267.39","62.88M","-0.43%"
"2019년 10월 02일","268.55","272.39","272.42","268.55","66.21M","-2.14%"
"2019년 10월 01일","274.42","273.43","275.38","272.81","52.63M","0.32%"
"2019년 09월 30일","273.55","270.61","273.85","270.06","54.69M","0.82%"
"2019년 09월 27일","271.33","273.32","273.40","270.52","57.74M","-1.30%"
"2019년 09월 26일","274.89","275.61","276.38","273.50","89.59M","0.17%"
"2019년 09월 25일","274.42","276.67","277.04","274.12","70.84M","-1.28%"
"2019년 09월 24일","277.97","276.41","278.17","275.55","68.27M","0.48%"
"2019년 09월 23일","276.65","275.86","277.11","275.64","60.19M","0.08%"
"2019년 09월 20일","276.44","275.01","276.67","274.46","74.03M","0.55%"
"2019년 09월 19일","274.92","273.11","276.15","273.03","70.50M","0.68%"
"2019년 09월 18일","273.06","271.88","273.72","271.04","67.60M","0.51%"
"2019년 09월 17일","271.68","271.46","272.26","270.90","73.74M","-0.12%"
"2019년 09월 16일","272.02","271.48","272.03","269.59","103.34M","0.44%"
"2019년 09월 11일","270.84","270.35","271.35","269.58","103.90M","0.77%"
"2019년 09월 10일","268.76","267.96","269.13","267.35","66.34M","0.51%"
"2019년 09월 09일","267.40","266.11","268.67","265.92","62.21M","0.70%"
"2019년 09월 06일","265.53","266.20","266.36","264.74","59.20M","0.41%"
"2019년 09월 05일","264.44","262.53","266.00","262.27","88.99M","1.05%"
"2019년 09월 04일","261.69","257.89","261.69","257.76","69.29M","1.33%"
"2019년 09월 03일","258.25","258.55","259.67","257.40","64.32M","-0.32%"
"2019년 09월 02일","259.08","258.25","259.74","257.80","54.89M","0.03%"
