date, value
1982-05-03,71.2813
1982-05-04,71.8125
1982-05-05,71.9375
1982-05-06,72.9688
1982-05-07,73.2500
1982-05-10,73.1250
1982-05-11,73.2500
1982-05-12,72.8750
1982-05-13,72.6250
1982-05-14,73.1250
1982-05-17,72.6563
1982-05-18,72.8750
1982-05-19,72.4688
1982-05-20,73.0938
1982-05-21,73.0000
1982-05-24,72.9688
1982-05-25,72.7125
1982-05-26,72.3625
1982-05-27,72.2125
1982-05-28,72.1500
1982-06-01,71.3125
1982-06-02,71.5625
1982-06-03,71.4688
1982-06-04,71.1250
1982-06-07,71.2813
1982-06-08,71.1875
1982-06-09,71.2188
1982-06-10,71.0000
1982-06-11,71.4688
1982-06-14,70.3750
1982-06-15,70.3750
1982-06-16,70.1563
1982-06-17,69.5625
1982-06-18,68.8125
1982-06-21,68.6875
1982-06-22,68.6875
1982-06-23,68.4688
1982-06-24,68.4688
1982-06-25,68.3750
1982-06-28,68.6563
1982-06-29,68.8750
1982-06-30,69.5625
1982-07-01,69.7500
1982-07-02,69.2500
1982-07-06,69.4375
1982-07-07,69.6875
1982-07-08,70.6250
1982-07-09,71.2500
1982-07-12,71.7500
1982-07-13,71.0313
1982-07-14,70.7813
1982-07-15,71.2813
1982-07-16,72.4063
1982-07-19,72.5313
1982-07-20,72.7813
1982-07-21,72.3750
1982-07-22,72.7813
1982-07-23,72.4688
1982-07-26,71.2813
1982-07-27,71.4375
1982-07-28,70.9688
1982-07-29,71.8438
1982-07-30,72.3438
1982-08-02,73.4375
1982-08-03,72.9375
1982-08-04,72.8125
1982-08-05,72.6563
1982-08-06,71.9063
1982-08-09,72.5625
1982-08-10,72.5313
1982-08-11,72.4375
1982-08-12,73.1563
1982-08-13,74.0313
1982-08-16,74.8125
1982-08-17,76.5313
1982-08-18,77.3125
1982-08-19,77.2188
1982-08-20,78.2813
1982-08-23,77.3125
1982-08-24,78.0000
1982-08-25,77.5000
1982-08-26,76.7688
1982-08-27,75.5688
1982-08-30,75.8188
1982-08-31,75.4125
1982-09-01,75.6563
1982-09-02,76.2500
1982-09-03,76.7813
1982-09-07,76.5938
1982-09-08,76.7188
1982-09-09,76.5625
1982-09-10,75.5000
1982-09-13,76.2813
1982-09-14,76.3438
1982-09-15,76.2188
1982-09-16,76.0625
1982-09-17,76.5625
1982-09-20,76.7500
1982-09-21,78.0625
1982-09-22,78.0625
1982-09-23,78.4375
1982-09-24,77.9063
1982-09-27,77.9688
1982-09-28,78.5313
1982-09-29,78.4688
1982-09-30,78.8125
1982-10-01,79.7500
1982-10-04,78.4375
1982-10-05,78.6875
1982-10-06,79.5625
1982-10-07,81.5625
1982-10-08,82.0000
1982-10-11,84.0000
1982-10-12,83.9063
1982-10-13,84.2813
1982-10-14,83.3125
1982-10-15,82.6250
1982-10-18,83.4375
1982-10-19,83.8125
1982-10-20,83.3750
1982-10-21,83.4688
1982-10-22,82.7813
1982-10-25,81.5000
1982-10-26,82.4375
1982-10-27,82.0938
1982-10-28,82.9375
1982-10-29,83.6563
1982-11-01,84.2500
1982-11-03,84.8438
1982-11-04,85.0000
1982-11-05,84.5313
1982-11-08,84.2500
1982-11-09,84.4375
1982-11-10,84.5000
1982-11-11,83.8750
1982-11-12,84.2188
1982-11-15,83.8438
1982-11-16,83.3125
1982-11-17,84.0938
1982-11-18,84.6250
1982-11-19,84.7188
1982-11-22,84.4375
1982-11-23,84.0625
1982-11-24,83.8250
1982-11-26,83.3500
1982-11-29,82.3188
1982-11-30,82.2750
1982-12-01,82.2188
1982-12-02,82.5313
1982-12-03,83.6563
1982-12-06,83.6875
1982-12-07,83.5938
1982-12-08,82.8125
1982-12-09,83.0000
1982-12-10,82.3438
1982-12-13,82.8125
1982-12-14,83.3750
1982-12-15,83.2188
1982-12-16,82.6250
1982-12-17,82.8125
1982-12-20,82.6250
1982-12-21,83.6563
1982-12-22,83.4375
1982-12-23,83.8750
1982-12-27,84.2813
1982-12-28,84.2813
1982-12-29,84.0313
1982-12-30,84.0625
1983-01-03,84.8750
1983-01-04,84.5625
1983-01-05,84.5938
1983-01-06,84.4688
1983-01-07,84.5313
1983-01-10,84.5938
1983-01-11,85.0313
1983-01-12,85.1250
1983-01-13,85.2188
1983-01-14,85.3750
1983-01-17,85.3750
1983-01-18,85.3750
1983-01-19,84.7813
1983-01-20,84.6250
1983-01-21,83.7500
1983-01-24,83.2188
1983-01-25,83.7188
1983-01-26,83.3438
1983-01-27,83.4375
1983-01-28,83.2188
1983-01-31,82.8125
1983-02-01,82.9063
1983-02-02,82.9063
1983-02-03,82.5313
1983-02-04,82.2188
1983-02-07,82.4375
1983-02-08,82.4375
1983-02-09,82.3750
1983-02-10,83.0625
1983-02-11,83.3750
1983-02-14,83.4063
1983-02-15,83.1563
1983-02-16,83.4688
1983-02-17,84.0938
1983-02-18,84.7500
1983-02-22,85.3750
1983-02-23,84.8875
1983-02-24,84.9875
1983-02-25,85.7375
1983-02-28,85.2375
1983-03-01,85.5000
1983-03-02,85.4688
1983-03-03,85.6250
1983-03-04,85.2813
1983-03-07,84.5000
1983-03-08,84.0938
1983-03-09,84.1250
1983-03-10,83.9063
1983-03-11,83.7500
1983-03-14,84.3438
1983-03-15,84.6250
1983-03-16,84.3125
1983-03-17,84.1875
1983-03-18,84.2813
1983-03-21,84.1250
1983-03-22,84.0313
1983-03-23,84.4375
1983-03-24,84.6250
1983-03-25,84.1250
1983-03-28,84.1875
1983-03-29,84.3750
1983-03-30,84.4688
1983-03-31,84.3125
1983-04-04,84.5313
1983-04-05,85.1875
1983-04-06,85.2813
1983-04-07,85.0625
1983-04-08,84.8750
1983-04-11,85.5000
1983-04-12,85.4375
1983-04-13,85.6563
1983-04-14,86.3438
1983-04-15,86.1563
1983-04-18,86.4063
1983-04-19,85.6563
1983-04-20,85.7813
1983-04-21,85.4063
1983-04-22,85.4375
1983-04-25,85.6250
1983-04-26,85.8438
1983-04-27,86.3125
1983-04-28,86.3438
1983-04-29,86.5000
